estimator,support_mm,frame_dt_s,psf_fwhm_mm,sigma_t_s,n_volumes,D_median_mm2_s,D_min_mm2_s,D_max_mm2_s
grid,0.75,1.0,0.00|0.00|0.00,2.0,445,0.00132855728428353,5.227887885290617e-06,0.02083281961174091
grid,0.75,1.0,0.00|0.00|0.00,4.0,1137,0.013794468912937327,1.4083856824501778e-05,0.047622187168831875
grid,0.75,1.0,0.00|0.00|0.00,8.0,1166,0.03035291379687656,7.912831893864523e-06,0.0941454636777516
grid,0.75,1.0,0.80|1.10|2.50,2.0,416,0.004647116077531736,2.8229022870723097e-05,0.03798737449312887
grid,0.75,1.0,0.80|1.10|2.50,4.0,987,0.027718662825511137,1.0967195660896665e-05,0.13447725960481738
grid,0.75,1.0,0.80|1.10|2.50,8.0,1034,0.05752265253903757,0.0002689319102001745,0.251257232580763
grid,0.75,1.0,1.10|1.10|1.10,2.0,437,0.0025391235584056922,1.2631256986100077e-05,0.028814303278402908
grid,0.75,1.0,1.10|1.10|1.10,4.0,1098,0.018316867382695487,4.975668879926565e-05,0.08312845944955234
grid,0.75,1.0,1.10|1.10|1.10,8.0,1123,0.040053451789971245,6.27680080702286e-05,0.16212752710830958
grid,0.75,2.0,0.00|0.00|0.00,4.0,1137,0.013831225114063065,2.4578195052494627e-05,0.047698787759354044
grid,0.75,2.0,0.00|0.00|0.00,8.0,1166,0.030379525200275703,1.0226376998126334e-05,0.09422855457169411
grid,0.75,2.0,0.80|1.10|2.50,4.0,989,0.027722450300831467,2.7485285600687318e-05,0.13480520851219488
grid,0.75,2.0,0.80|1.10|2.50,8.0,1034,0.0575722094685086,0.0002560676773161394,0.25143138725803027
grid,0.75,2.0,1.10|1.10|1.10,4.0,1098,0.01838086885886258,8.135572842822107e-05,0.08327392837587756
grid,0.75,2.0,1.10|1.10|1.10,8.0,1123,0.04009142845376338,6.434340352317695e-05,0.16225780664299402
grid,0.75,4.0,0.00|0.00|0.00,8.0,1166,0.030480595521708294,1.9215101261607404e-05,0.09454357535377168
grid,0.75,4.0,0.80|1.10|2.50,8.0,1034,0.05776696611228303,0.0002041589761622604,0.2520914570487237
grid,0.75,4.0,1.10|1.10|1.10,8.0,1123,0.04023541385619677,6.981214423830429e-05,0.16275305790890285
grid,1.5,1.0,0.00|0.00|0.00,2.0,438,0.02382122090204173,0.0002309560764520019,0.11443928684732074
grid,1.5,1.0,0.00|0.00|0.00,4.0,938,0.05269858488209703,7.21513063346631e-05,0.21723463049393685
grid,1.5,1.0,0.00|0.00|0.00,8.0,1034,0.10210756099549234,0.00021071371927925317,0.4368378484201178
grid,1.5,1.0,0.80|1.10|2.50,2.0,422,0.028580729196426853,4.785766704741105e-05,0.12695781663179403
grid,1.5,1.0,0.80|1.10|2.50,4.0,918,0.06139113830921117,7.764879768968012e-05,0.24398077864344905
grid,1.5,1.0,0.80|1.10|2.50,8.0,1049,0.11269713965586808,0.0005954934492976663,0.45205451430973054
grid,1.5,1.0,1.10|1.10|1.10,2.0,446,0.025632658167735634,1.2270510879597296e-07,0.12596820784765667
grid,1.5,1.0,1.10|1.10|1.10,4.0,938,0.056142535093717555,3.4514239729417986e-05,0.22596911375214443
grid,1.5,1.0,1.10|1.10|1.10,8.0,1042,0.108319650228449,0.00024179730538067173,0.45236160577216483
grid,1.5,2.0,0.00|0.00|0.00,4.0,937,0.05273897592758483,0.00040306820635604973,0.21794764697265256
grid,1.5,2.0,0.00|0.00|0.00,8.0,1034,0.10216013983403885,0.00022198988834685554,0.4371444993798962
grid,1.5,2.0,0.80|1.10|2.50,4.0,919,0.061383564587858756,0.00020673434527006493,0.24449470112830674
grid,1.5,2.0,0.80|1.10|2.50,8.0,1049,0.11282072196618846,0.0006420535346071584,0.4523599986408057
grid,1.5,2.0,1.10|1.10|1.10,4.0,939,0.05631311499179336,8.688843200703454e-05,0.22673026476545594
grid,1.5,2.0,1.10|1.10|1.10,8.0,1042,0.1084092416848238,0.00026852568054482506,0.4526734166998907
grid,1.5,4.0,0.00|0.00|0.00,8.0,1035,0.10224006482976977,5.507922150004008e-06,0.43830193443758825
grid,1.5,4.0,0.80|1.10|2.50,8.0,1049,0.1132870668619147,0.0007536868485820113,0.45351248271990346
grid,1.5,4.0,1.10|1.10|1.10,8.0,1042,0.10874676172874165,0.00036567994378036706,0.45384994566464065
shell,0.75,0.25,0.00|0.00|0.00,,794,1.222055624341496,0.0010460557845991551,44.74528667029516
shell,0.75,0.25,0.80|1.10|2.50,,544,2.442437891611278,0.0010113302077786816,69.59960795814557
shell,0.75,0.25,1.10|1.10|1.10,,616,2.284381611616886,0.0010112904898902646,98.27431097546544
shell,0.75,0.5,0.00|0.00|0.00,,649,0.5516257909752341,0.0010115456422140254,74.26397452423072
shell,0.75,0.5,0.80|1.10|2.50,,412,1.6177707499383454,0.0010118706110845738,91.5833788895086
shell,0.75,0.5,1.10|1.10|1.10,,437,1.4437148912341653,0.0010267801051103411,95.82445163933512
shell,0.75,1.0,0.00|0.00|0.00,,398,0.1737561177290151,0.0010461765869210523,16.72800199804643
shell,0.75,1.0,0.80|1.10|2.50,,184,0.5003009916206802,0.0015899170764172874,19.033816918193704
shell,0.75,1.0,1.10|1.10|1.10,,196,0.4308403096954164,0.001046134424163053,30.415855226479554
shell,0.75,2.0,0.00|0.00|0.00,,180,0.06656621506024205,0.009689851843723393,0.612897146116202
