scenario,comparison,quantity,numerator,denominator,n_replicates,numerator_contraction_median,denominator_contraction_median,width_gain_median,width_gain_min,width_gain_max,width_gain_per_replicate
L8_01,calibrated_delivery_to_phi,phi,E2_ceus_Acal,E2_ceus,5,0.06431178331189469,0.8382518496666747,13.034187616931423,13.033264560284758,13.036771541049582,13.0333;13.0368;13.0342;13.0341;13.0348
L8_02,calibrated_delivery_to_phi,phi,E2_ceus_Acal,E2_ceus,5,0.0709316716480609,0.8382994668928087,11.818408440339157,11.729326265107828,11.824676370128437,11.8247;11.8115;11.822;11.7293;11.8184
L8_03,calibrated_delivery_to_phi,phi,E2_ceus_Acal,E2_ceus,5,0.06763166990839355,0.8382751537499445,12.394713229547344,12.362904778783772,12.43438292118144,12.3629;12.4344;12.3947;12.3634;12.4141
L8_04,calibrated_delivery_to_phi,phi,E2_ceus_Acal,E2_ceus,5,0.06549920213059512,0.8382600483678273,12.798019229249059,12.794786044852398,12.809227685888565,12.7971;12.798;12.8092;12.8035;12.7948
L8_05,calibrated_delivery_to_phi,phi,E2_ceus_Acal,E2_ceus,5,0.0654992021601399,0.8382600483149621,12.798019222669136,12.79478604616827,12.80922768893045,12.7971;12.798;12.8092;12.8035;12.7948
L8_06,calibrated_delivery_to_phi,phi,E2_ceus_Acal,E2_ceus,5,0.06763166991020732,0.8382751537510884,12.394713229231852,12.36290477870177,12.43438292182122,12.3629;12.4344;12.3947;12.3634;12.4141
L8_07,calibrated_delivery_to_phi,phi,E2_ceus_Acal,E2_ceus,5,0.0709316716325416,0.83829946691229,11.818408443199582,11.72932626370497,11.824676371177599,11.8247;11.8115;11.822;11.7293;11.8184
L8_08,calibrated_delivery_to_phi,phi,E2_ceus_Acal,E2_ceus,5,0.06431178331030626,0.8382518500904482,13.034187623842712,13.033264563120472,13.036771537956383,13.0333;13.0368;13.0342;13.0341;13.0348
reference,calibrated_delivery_to_phi,phi,E2_ceus_Acal,E2_ceus,5,0.06577233478773918,0.8382619544639669,12.744901897875607,12.73710351598434,12.746982974351736,12.7371;12.747;12.7448;12.7449;12.7468
L8_01,network_prior_to_k_current_protocol,k,E5_joint_network,E3_joint_independent,5,0.4859368291953653,0.9982190598817576,2.054213477549361,2.0532674069919845,2.055058489644521,2.05327;2.05421;2.05381;2.05462;2.05506
