scenario,configuration,replicate,seed,windows,level,quantity,truth,median,lo,hi,contraction,bias_log,covered,rank,n_par,least_fisher_eigenvalue,least_informed_contraction
reference,E2_ceus,0,0,ceus,independent,phi,0.028000000000000004,0.02398095894785949,0.006832260057555617,0.08417220468985946,0.8382622365671352,-0.15494437189001076,True,6,9,0.0,1.0
reference,E2_ceus,0,0,ceus,independent,k,3.4999999999999997e-13,3.162277660168375e-13,9.999999999999987e-15,9.999999999999985e-12,1.0,-0.10147042199834644,True,6,9,0.0,1.0
reference,E2_ceus,0,0,ceus,independent,D,1.0000000000000004e-06,1.0108229547327233e-06,9.843704402080861e-07,1.0379863149878847e-06,0.011516531994237175,0.010764805744488015,True,6,9,0.0,1.0
reference,E2_ceus,0,0,ceus,independent,vmag,0.0010488088481701513,0.0010542827453395996,0.0010460064148611276,0.001062624560737873,0.0034227508573653528,0.005205583577390094,True,6,9,0.0,1.0
reference,E2_ceus,0,0,ceus,independent,S_v,2.8000000000000023e-05,2.2360679774997884e-05,1.4338978448964585e-06,0.0003486998755034075,1.0,-0.22490046096410943,True,6,9,0.0,1.0
reference,E2_ceus,1,1,ceus,independent,phi,0.028000000000000004,0.023774007145274393,0.00677330238142719,0.08344576750233096,0.8382618792955064,-0.16361166306687158,True,6,9,0.0,1.0
reference,E2_ceus,1,1,ceus,independent,k,3.4999999999999997e-13,3.162277660168375e-13,9.999999999999987e-15,9.999999999999985e-12,1.0,-0.10147042199834644,True,6,9,0.0,1.0
reference,E2_ceus,1,1,ceus,independent,D,1.0000000000000004e-06,9.74620828549902e-07,9.492410936035797e-07,1.0006791381494773e-06,0.01145915742174786,-0.025706777418065485,True,6,9,0.0,1.0
reference,E2_ceus,1,1,ceus,independent,vmag,0.0010488088481701513,0.0010431881263180248,0.001035057640724411,0.0010513824777229586,0.003398099588620934,-0.00537355975710696,True,6,9,0.0,1.0
reference,E2_ceus,1,1,ceus,independent,S_v,2.8000000000000023e-05,2.2360679774997884e-05,1.4338978448964585e-06,0.0003486998755034075,1.0,-0.22490046096410943,True,6,9,0.0,1.0
reference,E2_ceus,2,2,ceus,independent,phi,0.028000000000000004,0.02389702010868364,0.006808348439153133,0.08387754756950475,0.8382619567194375,-0.15845074065617748,True,6,9,0.0,1.0
reference,E2_ceus,2,2,ceus,independent,k,3.4999999999999997e-13,3.162277660168375e-13,9.999999999999987e-15,9.999999999999985e-12,1.0,-0.10147042199834644,True,6,9,0.0,1.0
reference,E2_ceus,2,2,ceus,independent,D,1.0000000000000004e-06,1.0032226116259344e-06,9.769825306012046e-07,1.030167456380432e-06,0.011510513976545527,0.003217430142044009,True,6,9,0.0,1.0
reference,E2_ceus,2,2,ceus,independent,vmag,0.0010488088481701513,0.0010505932544746693,0.0010423702244466218,0.0010588811541826597,0.0034126108526809245,0.001699918974048309,True,6,9,0.0,1.0
reference,E2_ceus,2,2,ceus,independent,S_v,2.8000000000000023e-05,2.2360679774997884e-05,1.4338978448964585e-06,0.0003486998755034075,1.0,-0.22490046096410943,True,6,9,0.0,1.0
reference,E2_ceus,3,3,ceus,independent,phi,0.028000000000000004,0.023881707300250528,0.006803985787006096,0.08382379996502014,0.8382619544639669,-0.15909172922108183,True,6,9,0.0,1.0
reference,E2_ceus,3,3,ceus,independent,k,3.4999999999999997e-13,3.162277660168375e-13,9.999999999999987e-15,9.999999999999985e-12,1.0,-0.10147042199834644,True,6,9,0.0,1.0
reference,E2_ceus,3,3,ceus,independent,D,1.0000000000000004e-06,9.944867125549277e-07,9.68537091952809e-07,1.021131590793526e-06,0.011482727344356814,-0.005528541707557011,True,6,9,0.0,1.0
reference,E2_ceus,3,3,ceus,independent,vmag,0.0010488088481701513,0.0010472044275500751,0.0010390258914228458,0.0010554473397951054,0.0034050998813712086,-0.0015309263085523384,True,6,9,0.0,1.0
reference,E2_ceus,3,3,ceus,independent,S_v,2.8000000000000023e-05,2.2360679774997884e-05,1.4338978448964585e-06,0.0003486998755034075,1.0,-0.22490046096410943,True,6,9,0.0,1.0
reference,E2_ceus,4,4,ceus,independent,phi,0.028000000000000004,0.023811070055248153,0.0067838616922585694,0.08357585736497725,0.8382618841189876,-0.162053909264674,True,6,9,0.0,1.0
reference,E2_ceus,4,4,ceus,independent,k,3.4999999999999997e-13,3.162277660168375e-13,9.999999999999987e-15,9.999999999999985e-12,1.0,-0.10147042199834644,True,6,9,0.0,1.0
reference,E2_ceus,4,4,ceus,independent,D,1.0000000000000004e-06,9.827006658063996e-07,9.571017767269842e-07,1.0089842293248709e-06,0.011463127860467347,-0.017450716086358398,True,6,9,0.0,1.0
reference,E2_ceus,4,4,ceus,independent,vmag,0.0010488088481701513,0.0010508310917172272,0.0010426483446000882,0.001059078057370491,0.003395056054514377,0.001926277104908003,True,6,9,0.0,1.0
reference,E2_ceus,4,4,ceus,independent,S_v,2.8000000000000023e-05,2.2360679774997884e-05,1.4338978448964585e-06,0.0003486998755034075,1.0,-0.22490046096410943,True,6,9,0.0,1.0
reference,E2_ceus_Acal,0,0,ceus,independent,phi,0.028000000000000004,0.0282636754809153,0.025610410363604147,0.031191821620544808,0.06581262651396086,0.009372918104547878,True,6,9,0.0,1.0
reference,E2_ceus_Acal,0,0,ceus,independent,k,3.4999999999999997e-13,3.162277660168375e-13,9.999999999999987e-15,9.999999999999985e-12,1.0,-0.10147042199834644,True,6,9,0.0,1.0
reference,E2_ceus_Acal,0,0,ceus,independent,D,1.0000000000000004e-06,1.0107732471401278e-06,9.843245332326927e-07,1.0379326356713682e-06,0.011515429052202163,0.010715629165545693,True,6,9,0.0,1.0
reference,E2_ceus_Acal,0,0,ceus,independent,vmag,0.0010488088481701513,0.0010542804932348522,0.0010460042632444596,0.0010626222066895679,0.003422716475744442,0.00520344742637846,True,6,9,0.0,1.0
reference,E2_ceus_Acal,0,0,ceus,independent,S_v,2.8000000000000023e-05,2.2360679774997884e-05,1.4338978448964585e-06,0.0003486998755034075,1.0,-0.22490046096410943,True,6,9,0.0,1.0
