scenario,configuration,quantity,n_replicates,truth,contraction_median,contraction_min,contraction_max,coverage,absolute_bias_log_median,rank_min,n_par,least_fisher_eigenvalue_median,least_informed_contraction_median
L8_01,E2_ceus,D,5,3.0000000000000015e-07,0.006971087891215583,0.006945180493109323,0.00699044265462069,1.0,0.006937077180214857,6,9,0.0,1.0
L8_01,E2_ceus,S_v,5,4.800000000000004e-06,1.0,1.0,1.0,1.0,1.5386881312972491,6,9,0.0,1.0
L8_01,E2_ceus,k,5,7.000000000000004e-14,1.0,1.0,1.0,1.0,1.5079674904357532,6,9,0.0,1.0
L8_01,E2_ceus,phi,5,0.011999999999999999,0.8382518496666747,0.838251763138894,0.838251881092602,1.0,0.4387730164246286,6,9,0.0,1.0
L8_01,E2_ceus,vmag,5,0.0004000000000000001,0.002079520964048933,0.0020732356865384356,0.0020837094796294624,1.0,0.003016475123297724,6,9,0.0,1.0
L8_01,E2_ceus_Acal,D,5,3.0000000000000015e-07,0.006970897810416469,0.0069449956444638,0.0069902473698917516,1.0,0.006891351209633356,6,9,0.0,1.0
L8_01,E2_ceus_Acal,S_v,5,4.800000000000004e-06,1.0,1.0,1.0,1.0,1.5386881312972491,6,9,0.0,1.0
L8_01,E2_ceus_Acal,k,5,7.000000000000004e-14,1.0,1.0,1.0,1.0,1.5079674904357532,6,9,0.0,1.0
L8_01,E2_ceus_Acal,phi,5,0.011999999999999999,0.06431178331189469,0.06429902990164749,0.06431634048517215,1.0,0.0073784872867559415,6,9,0.0,1.0
L8_01,E2_ceus_Acal,vmag,5,0.0004000000000000001,0.0020795157720663923,0.0020732302161600475,0.0020837045482939376,1.0,0.0030207876410273116,6,9,0.0,1.0
L8_01,E3_joint_independent,D,5,3.0000000000000015e-07,0.006935072817708758,0.006925254928514858,0.006988015963495044,0.8,0.008945573868988532,11,13,0.0,1.0
L8_01,E3_joint_independent,S_v,5,4.800000000000004e-06,1.0,1.0,1.0,1.0,1.5386881312972491,11,13,0.0,1.0
L8_01,E3_joint_independent,eta_s,5,0.5,0.0042221389495623,0.003761355343363052,0.004457978307345169,0.8,0.003446861874753071,11,13,0.0,1.0
L8_01,E3_joint_independent,k,5,7.000000000000004e-14,0.9982190598817576,0.9977482008448173,0.9986286062688752,1.0,1.415734817267925,11,13,0.0,1.0
L8_01,E3_joint_independent,mu,5,1999.9999999999998,0.001317048135157187,0.0013147658729669419,0.0013200271798486307,0.6,0.0007203854622277461,11,13,0.0,1.0
L8_01,E3_joint_independent,phi,5,0.011999999999999999,0.06429863456648516,0.06429414339919462,0.06431584892312793,1.0,0.012616022514640335,11,13,0.0,1.0
L8_01,E3_joint_independent,vmag,5,0.0004000000000000001,0.002069808933639086,0.002063853136558782,0.002084006583729378,1.0,0.0009725146673993379,11,13,0.0,1.0
L8_01,E4_joint_constitutive_Cvcal,C_v,5,0.0004000000000000001,1.0,1.0,1.0,1.0,0.0,11,13,0.0,1.0
L8_01,E4_joint_constitutive_Cvcal,D,5,3.0000000000000015e-07,0.006935072814372288,0.006925254930959786,0.006988015960828707,0.8,0.008945573619621783,11,13,0.0,1.0
L8_01,E4_joint_constitutive_Cvcal,S_v,5,4.800000000000001e-06,0.26856125781177803,0.2685602559870218,0.2685650983563407,1.0,0.012616103647525634,11,13,0.0,1.0
L8_01,E4_joint_constitutive_Cvcal,eta_s,5,0.5,0.0042221401471688085,0.003761353481895417,0.004457977885801352,0.8,0.0034468707936998744,11,13,0.0,1.0
L8_01,E4_joint_constitutive_Cvcal,k,5,7.000000000000004e-14,0.9982190320025781,0.9977481996183581,0.998628635825477,1.0,1.4157429810979174,11,13,0.0,1.0
L8_01,E4_joint_constitutive_Cvcal,mu,5,1999.9999999999998,0.0013170481331957588,0.0013147659064781634,0.0013200271412310504,0.6,0.0007203853225608015,11,13,0.0,1.0
L8_01,E4_joint_constitutive_Cvcal,phi,5,0.011999999999999999,0.06429863456638758,0.0642941434005342,0.06431584892152827,1.0,0.012616103647526522,11,13,0.0,1.0
L8_01,E4_joint_constitutive_Cvcal,vmag,5,0.0004000000000000001,0.0020698089333810277,0.0020638531366144967,0.002084006583606655,1.0,0.0009725150136761229,11,13,0.0,1.0
L8_01,E5_joint_network,C_v,5,0.0004000000000000001,1.0,1.0,1.0,1.0,0.9162907318741551,11,13,0.0,1.0
L8_01,E5_joint_network,D,5,3.0000000000000015e-07,0.006934763684480525,0.006924951159172847,0.006987685504445824,0.8,0.00909847074466441,11,13,0.0,1.0
L8_01,E5_joint_network,S_v,5,4.800000000000001e-06,0.8389775021121909,0.8389774001941673,0.8389778917087012,1.0,0.9247133282881101,11,13,0.0,1.0
L8_01,E5_joint_network,eta_s,5,0.5,0.00419551561890137,0.003719764602654167,0.0044362216238965045,0.8,0.003199798717396729,11,13,0.0,1.0
L8_01,E5_joint_network,k,5,7.000000000000004e-14,0.4859368291953653,0.4859319333892842,0.4859378018813717,1.0,0.13961790924686923,11,13,0.0,1.0
L8_01,E5_joint_network,mu,5,1999.9999999999998,0.0013151203594407657,0.001312880652425591,0.0013184073307551817,0.6,0.0007373634797094297,11,13,0.0,1.0
L8_01,E5_joint_network,phi,5,0.011999999999999999,0.06422213462207055,0.06421765672850327,0.06423924915115573,1.0,0.014666451690656501,11,13,0.0,1.0
L8_01,E5_joint_network,vmag,5,0.0004000000000000001,0.0020697887252747217,0.0020638351949232767,0.002083984470383245,1.0,0.00099331150025872,11,13,0.0,1.0
L8_01,E8_relax_constitutive_Cvcal,C_v,5,0.0004000000000000001,0.9578613463181714,0.9578547203400016,0.9578619817117983,1.0,0.004331818032891732,14,16,5.6550421004313695e-12,0.9999999999971725
L8_01,E8_relax_constitutive_Cvcal,D,5,3.0000000000000015e-07,0.00693471905645359,0.006924902071368642,0.006987653959154183,0.8,0.008953891905123967,14,16,5.6550421004313695e-12,0.9999999999971725
L8_01,E8_relax_constitutive_Cvcal,S_v,5,4.800000000000001e-06,0.2565909228487209,0.25658954113964705,0.2565925004330689,1.0,0.014924480505928983,14,16,5.6550421004313695e-12,0.9999999999971725
