case,arm,windows,n_frames_used,quantity,truth,median,lo,hi,width_post,width_prior,contraction,bias_log,covered
main,independent,bmode+swe+ceus,0,sig_e,0.0005999999999999997,0.0005988382188455176,0.00042179577300849964,0.0008501915744491015,0.700940459117061,3.688879454113936,0.19001446586587525,-0.0019381789801302673,True
main,independent,bmode+swe+ceus,0,R,0.005000000000000002,0.005020078881071479,0.004994578226903626,0.0050457097330925725,0.010185354928062015,1.7917594692280547,0.005684554820547526,0.004007734506935812,True
main,independent,bmode+swe+ceus,0,x_c,0.012,0.011997142518574758,0.011974121539511242,0.012020163497638275,4.6041958127034304e-05,0.006,0.007673659687839051,-2.8574814252418923e-06,True
main,independent,bmode+swe+ceus,0,c_s,2.0,1.9986268191974526,1.992177565207393,2.0050969512848034,0.006464119994906443,1.6094379124341003,0.004016383574020673,-0.000686826212406566,True
main,independent,bmode+swe+ceus,0,alpha0,40.0,38.84089887658858,35.2103940352933,42.84574106240369,0.1962649242186746,4.382026634673881,0.04478861964591437,-0.029405667895050946,True
main,independent,bmode+swe+ceus,0,v,0.0010000000000000002,0.0009996802230415754,0.0009978166282762274,0.0010015472983917835,0.003731861313973858,2.5902671654458267,0.0014407244796046143,-0.00031982809797881373,True
main,independent,bmode+swe+ceus,0,D,9.999999999999994e-08,9.740542871696014e-08,9.477857743800978e-08,1.0010508492533917e-07,0.05467707615375217,4.605170185988094,0.011872976230089215,-0.02628824057905277,True
main,independent,bmode+swe+ceus,0,w_bmode,0.00035000000000000005,0.00034434995789533004,0.00012152805221199289,0.0009757162345996518,2.0830266823664245,2.120263536200092,0.9824376294748705,-0.016274694765650466,True
main,independent,bmode+swe+ceus,0,w_swe,0.0006325345840347388,0.0006814305772615903,0.0005778564866522092,0.0008035691254713529,0.329737667079793,1.2107693123672645,0.2723373178620612,0.07445948097054611,True
main,independent,bmode+swe+ceus,0,w_ceus,0.0008750000000000001,0.0008940541520046909,0.0008725947885879546,0.0009160412566872175,0.048590115320322994,2.120263536200091,0.02291701691356989,0.021542459693629112,True
main,independent,bmode+swe+ceus,0,w0,0.00035,0.00034443879652589035,0.00012143647806765795,0.0009848950264247556,2.0931437515276476,2.11942557602302,0.9875995530144122,-0.01601673866377534,True
main,shared,bmode+swe+ceus,0,sig_e,0.0005999999999999997,0.0005909177558662896,0.0005510824360255365,0.0006336325953634115,0.13958487425554011,3.688879454113936,0.037839369920280634,-0.015252808464579104,True
main,shared,bmode+swe+ceus,0,R,0.005000000000000002,0.0050200779570583704,0.004994577082340153,0.005045709031911789,0.01018544512352578,1.7917594692280547,0.00568460515959432,0.00400755044345491,True
main,shared,bmode+swe+ceus,0,x_c,0.012,0.011997142213876016,0.011974121074785894,0.01202016335296614,4.604227818024747e-05,0.006,0.007673713030041244,-2.8577861239838243e-06,True
main,shared,bmode+swe+ceus,0,c_s,2.0,1.9985995473771476,1.9921509163618323,2.005069052735682,0.006463582914163908,1.6094379124341003,0.004016049866992657,-0.0007004715843741405,True
main,shared,bmode+swe+ceus,0,alpha0,40.0,39.45390217086898,36.19507797065583,43.00613463992202,0.17241962963658464,4.382026634673881,0.039347006308056466,-0.01374649736980027,True
main,shared,bmode+swe+ceus,0,v,0.0010000000000000002,0.0009996833523843918,0.0009978197249291224,0.001001550460535828,0.0037319151437938606,2.5902671654458267,0.0014407452611752262,-0.0003166977590502995,True
main,shared,bmode+swe+ceus,0,D,9.999999999999994e-08,9.736811865928504e-08,9.47451515890603e-08,1.000637011207577e-07,0.05461632230088332,4.605170185988094,0.011859783698561563,-0.026671352748380173,True
main,shared,bmode+swe+ceus,0,w0,0.00035000000000000005,0.000357792831722757,0.0003492351670825765,0.0003665601935269018,0.04841722019697849,2.120263536200092,0.0228354727468224,0.022020982077325613,True
main,shared,bmode+swe+ceus,0,w_bmode,0.00035,0.0003578326773953591,0.00034923568538677407,0.0003665858661597139,0.04848577024198342,2.1242152100674785,0.022825262719234178,0.022132341083217835,True
main,shared,bmode+swe+ceus,0,w_swe,0.0006325345840347388,0.0006410668303877493,0.0006317060276250045,0.0006506880870627744,0.029606258683938513,1.2142957006831088,0.024381424283461885,0.013398813638626902,True
main,shared,bmode+swe+ceus,0,w_ceus,0.000875,0.0008945816934883977,0.0008730892134669352,0.0009164646653992847,0.04848577024198342,2.1242152100674794,0.02282526271923417,0.022132341083217835,True
main,shared_calibrated,bmode+swe+ceus,0,sig_e,0.0005999999999999997,0.0005896154987577918,0.0005454942086340463,0.0006373054578268198,0.15555687767005083,3.688879454113936,0.04216914095595335,-0.01745902778388153,True
main,shared_calibrated,bmode+swe+ceus,0,R,0.005000000000000002,0.005020077915292384,0.004994577008467372,0.00504570902258238,0.010185458065144233,1.7917594692280547,0.005684612382449104,0.0040075421236664965,True
main,shared_calibrated,bmode+swe+ceus,0,x_c,0.012,0.01199714224054295,0.011974121078313717,0.012020163402772184,4.6042324458466e-05,0.006,0.007673720743077667,-2.8577594570495385e-06,True
main,shared_calibrated,bmode+swe+ceus,0,c_s,2.0,1.9986023409699438,1.9921536305473446,2.0050719262214103,0.006463653584964897,1.6094379124341003,0.004016093777230165,-0.000699073810193962,True
main,shared_calibrated,bmode+swe+ceus,0,alpha0,40.0,39.381486838745154,36.055301412550804,43.01452060779032,0.17648383711015783,4.382026634673881,0.04027447841455033,-0.01558362542613656,True
main,shared_calibrated,bmode+swe+ceus,0,v,0.0010000000000000002,0.0009996829138584377,0.0009978192911713065,0.0010015500172254382,0.003731907225265867,2.5902671654458267,0.0014407422041438516,-0.00031713642400266195,True
main,shared_calibrated,bmode+swe+ceus,0,D,9.999999999999994e-08,9.737333992545234e-08,9.474984734331783e-08,1.000694733985381e-07,0.054624445948608394,4.605170185988094,0.011861547726251526,-0.026617730204865353,True
main,shared_calibrated,bmode+swe+ceus,0,w0,0.00035000000000000005,0.00035993788853125634,0.00032775937066322066,0.000395275605204465,0.1873035431701676,2.120263536200092,0.08833974643824254,0.027998330223741874,True
main,shared_calibrated,bmode+swe+ceus,0,gamma_swe,1.0,1.0064443718953393,0.9185511081753118,1.102747865311463,0.18276285700264425,0.19062035960864981,0.9587793107612571,0.006423695713239879,True
main,shared_calibrated,bmode+swe+ceus,0,gamma_ceus,1.0,0.9939739143040834,0.9074834264233478,1.0887076430816045,0.18207132015903263,0.19062035960864981,0.9551514881874703,-0.006044315824766214,True
main,shared_calibrated,bmode+swe+ceus,0,w_bmode,0.00035,0.0003599804300596807,0.00032828924080903265,0.0003953362353016355,0.18584157988942618,2.11942557602302,0.08768488122057448,0.028116514543755196,True
main,shared_calibrated,bmode+swe+ceus,0,w_swe,0.0006325345840347388,0.0006457849067033749,0.0006002594595771822,0.0007002983724002034,0.1541444961395273,1.2011934103870985,0.1283261253405082,0.02073158915638278,True
main,shared_calibrated,bmode+swe+ceus,0,w_ceus,0.000875,0.000894387729846273,0.0008732917147112066,0.0009161848979132391,0.04794854588083375,2.1232923880306878,0.02258216821721152,0.021915497083142024,True
main,oracle,bmode+swe+ceus,0,sig_e,0.0005999999999999997,0.0005955586969094398,0.0005563217299257094,0.0006375630186364192,0.13630634706777836,3.688879454113936,0.03695061027699507,-0.007429703840055701,True
main,oracle,bmode+swe+ceus,0,R,0.005000000000000002,0.005020078564877592,0.004994577825517086,0.0050457095029717335,0.01018538968528642,1.7917594692280547,0.005684574218923815,0.004007671521093492,True
main,oracle,bmode+swe+ceus,0,x_c,0.012,0.011997142434163156,0.01197412139211077,0.012020163476215541,4.604208410477215e-05,0.006,0.007673680684128692,-2.8575658368446e-06,True
main,oracle,bmode+swe+ceus,0,c_s,2.0,1.998595023120967,1.9921462615213825,2.0050646599579633,0.006463728668637856,1.6094379124341003,0.00401614042933919,-0.000702735300138202,True
main,oracle,bmode+swe+ceus,0,alpha0,40.0,39.57823232411119,36.32148134574844,43.12699856567599,0.1717398789770102,4.382026634673881,0.0391918838690015,-0.01060017577283956,True
main,oracle,bmode+swe+ceus,0,v,0.0010000000000000002,0.0009995385433012377,0.0009976843191994232,0.0010013962135302025,0.0037136058661566868,2.5902671654458267,0.0014336767711439972,-0.0004615632026707672,True
main,oracle,bmode+swe+ceus,0,D,9.999999999999994e-08,9.906624920546478e-08,9.720792578548635e-08,1.0096009818475677e-07,0.03787312215883653,4.605170185988094,0.008224043983015234,-0.009381375763620525,True
main,oracle,bmode+swe+ceus,0,w0,0.00035,0.00035,0.00035,0.00035,0.0,nan,0.0,0.0,True
main,oracle,bmode+swe+ceus,0,w_bmode,0.00035,0.00035,0.00035,0.00035,0.0,nan,0.0,0.0,True
main,oracle,bmode+swe+ceus,0,w_swe,0.0006325345840347388,0.0006325345840347388,0.0006325345840347388,0.0006325345840347388,0.0,nan,0.0,0.0,True
main,oracle,bmode+swe+ceus,0,w_ceus,0.000875,0.000875,0.000875,0.000875,0.0,nan,0.0,0.0,True
one_frame,independent,bmode+swe+ceus,1,sig_e,0.0005999999999999997,0.0005988380511586998,0.0004217953877116936,0.0008501918749302808,0.7009417260127097,3.688879454113936,0.190014809302321,-0.0019384590004030144,True
one_frame,independent,bmode+swe+ceus,1,R,0.005000000000000002,0.005020078895890508,0.004994578242281205,0.005045709747346948,0.010185354674255725,1.7917594692280547,0.005684554678895538,0.004007737458887384,True
one_frame,independent,bmode+swe+ceus,1,x_c,0.012,0.011997142529257755,0.011974121550580771,0.012020163507934738,4.604195735396563e-05,0.006,0.007673659558994272,-2.857470742245738e-06,True
one_frame,independent,bmode+swe+ceus,1,c_s,2.0,1.9986268191740253,1.9921775651915183,2.0050969512537753,0.0064641199874002535,1.6094379124341003,0.004016383569356815,-0.0006868262241281897,True
one_frame,independent,bmode+swe+ceus,1,alpha0,40.0,38.84089927726052,35.21039444741803,42.84574144487958,0.19626492144085372,4.382026634673881,0.044788619012002,-0.029405657579328448,True
one_frame,independent,bmode+swe+ceus,1,v,0.0010000000000000002,0.0010753676492432575,0.000975988352821349,0.0011848661694538144,0.19393445726436945,2.5902671654458267,0.07487044574067717,0.07266260240725053,True
one_frame,independent,bmode+swe+ceus,1,D,9.999999999999994e-08,1.0601968564771808e-07,7.138280453527591e-08,1.574633249284328e-07,0.7911355660515159,4.605170185988094,0.17179290538678937,0.058454604539047494,True
one_frame,independent,bmode+swe+ceus,1,w_bmode,0.00035000000000000005,0.00034435019309552486,0.00012152814370389524,0.0009757168329160006,2.083026542727898,2.120263536200092,0.9824375636158279,-0.016274011739243477,True
one_frame,independent,bmode+swe+ceus,1,w_swe,0.0006325345840347388,0.0006814305401370326,0.0005778564464682488,0.0008035690937938894,0.32973769719852764,1.2107693123672645,0.2723373427377616,0.07445942649022186,True
one_frame,independent,bmode+swe+ceus,1,w_ceus,0.0008750000000000001,0.0008699596695217442,0.0003058218714794865,0.0024747406813418462,2.090888081191021,2.120263536200091,0.9861453755594382,-0.00577703265505658,True
one_frame,independent,bmode+swe+ceus,1,w0,0.00035,0.0003439911891013039,0.00012033360881328338,0.0009745127667832767,2.091669660747666,2.11942557602302,0.9869040387219274,-0.017317110515686504,True
one_frame,shared,bmode+swe+ceus,1,sig_e,0.0005999999999999997,0.0005746966158354878,0.0005002050938437582,0.0006602815611388513,0.27764814982964225,3.688879454113936,0.07526625721531824,-0.04308737829558762,True
one_frame,shared,bmode+swe+ceus,1,R,0.005000000000000002,0.005020076233490876,0.004994574873208243,0.005045707798924654,0.010185643066189862,1.7917594692280547,0.005684715633498593,0.004007207108589483,True
one_frame,shared,bmode+swe+ceus,1,x_c,0.012,0.011997141773057095,0.011974120285473342,0.012020163260640848,4.604297516750457e-05,0.006,0.007673829194584095,-2.8582269429051205e-06,True
one_frame,shared,bmode+swe+ceus,1,c_s,2.0,1.9986176419055783,1.9921683596608986,2.0050878025269627,0.006464178090694281,1.6094379124341003,0.004016419670963208,-0.0006914180215707999,True
one_frame,shared,bmode+swe+ceus,1,alpha0,40.0,39.02775291069642,35.39643110605551,43.03161221804067,0.1953240146071424,4.382026634673881,0.04457389945136169,-0.02460644796605349,True
one_frame,shared,bmode+swe+ceus,1,v,0.0010000000000000002,0.0010857139456034392,0.0009844688939960123,0.001197371271826657,0.19578152423394185,2.5902671654458267,0.07558352545469753,0.08223778497693246,True
one_frame,shared,bmode+swe+ceus,1,D,9.999999999999994e-08,1.0285984669902947e-07,8.749861290091415e-08,1.2091789472056107e-07,0.3234888185680477,4.605170185988094,0.07024470443075262,0.02819716397286598,True
one_frame,shared,bmode+swe+ceus,1,w0,0.00035000000000000005,0.0003833494552145183,0.0002939505381284461,0.0004999371858576186,0.5310709467187413,2.120263536200092,0.25047402723838735,0.0910138344027045,True
one_frame,shared,bmode+swe+ceus,1,w_bmode,0.00035,0.0003837197093176562,0.0002942107235196239,0.0005019933155424371,0.5342905466867096,2.1242152100674785,0.2515237364625297,0.09197920792835902,True
one_frame,shared,bmode+swe+ceus,1,w_swe,0.0006325345840347388,0.0006697701083475949,0.0005741580807415269,0.0008086499162763327,0.34246132663854834,1.2142957006831088,0.2820246554820995,0.05719963421330961,True
one_frame,shared,bmode+swe+ceus,1,w_ceus,0.000875,0.0009592992732941404,0.0007355268087990599,0.0012549832888560928,0.5342905466867105,2.1242152100674794,0.25152373646253,0.09197920792835883,True
one_frame,shared_calibrated,bmode+swe+ceus,1,sig_e,0.0005999999999999997,0.0005749096127553939,0.000497824294121383,0.0006639311635481716,0.2879312830287063,3.688879454113936,0.07805386069409172,-0.04271682198326765,True
one_frame,shared_calibrated,bmode+swe+ceus,1,R,0.005000000000000002,0.0050200762602097,0.004994574906807486,0.005045707818691923,0.010185640256683812,1.7917594692280547,0.00568471406548341,0.004007212430983564,True
one_frame,shared_calibrated,bmode+swe+ceus,1,x_c,0.012,0.011997141780218958,0.011974120297599925,0.012020163262837991,4.604296523806553e-05,0.006,0.007673827539677589,-2.858219781042004e-06,True
one_frame,shared_calibrated,bmode+swe+ceus,1,c_s,2.0,1.9986176628203536,1.9921683800005305,2.0050878240203915,0.006464178600343716,1.6094379124341003,0.004016419987626206,-0.0006914075569504075,True
one_frame,shared_calibrated,bmode+swe+ceus,1,alpha0,40.0,39.02730896698361,35.39574796393443,43.03146374407326,0.19533986418681107,4.382026634673881,0.044577516403286,-0.024617823108219472,True
one_frame,shared_calibrated,bmode+swe+ceus,1,v,0.0010000000000000002,0.0010856159986050071,0.0009843886484036351,0.0011972528313267316,0.19576411711549166,2.5902671654458267,0.07557680525274986,0.0821475665384499,True
one_frame,shared_calibrated,bmode+swe+ceus,1,D,9.999999999999994e-08,1.0288914863408185e-07,8.661268225230494e-08,1.2222432825493595e-07,0.3444118613008988,4.605170185988094,0.07478808543250419,0.028481995839996443,True
one_frame,shared_calibrated,bmode+swe+ceus,1,w0,0.00035000000000000005,0.00038302932582179615,0.0002895427371509976,0.0005067005509552434,0.5596172896933501,2.120263536200092,0.26393760970689933,0.09017840049126757,True
one_frame,shared_calibrated,bmode+swe+ceus,1,gamma_swe,1.0,1.00090309568808,0.9102716521517379,1.100558283441947,0.18982978662716524,0.19062035960864981,0.9958526309408521,0.00090268814251898,True
one_frame,shared_calibrated,bmode+swe+ceus,1,gamma_ceus,1.0,1.0000224949148935,0.9091270449855889,1.1000057647076822,0.19058585154410715,0.19062035960864981,0.9998189696808174,2.2494661886697237e-05,True
one_frame,shared_calibrated,bmode+swe+ceus,1,w_bmode,0.00035,0.00038276176358882294,0.00028853147196294054,0.0005077351406756162,0.5651557667334046,2.11942557602302,0.26665516030710873,0.08947961397478638,True
one_frame,shared_calibrated,bmode+swe+ceus,1,w_swe,0.0006325345840347388,0.0006692011911221202,0.0005731349427289134,0.0008056001569320293,0.3404663450725973,1.2011934103870985,0.2834400706234961,0.05634985160790795,True
one_frame,shared_calibrated,bmode+swe+ceus,1,w_ceus,0.000875,0.0009564779674208484,0.0007118190631487637,0.0012880386867238206,0.5930521881637398,2.1232923880306878,0.27930782943831123,0.08903386767385753,True
one_frame,oracle,bmode+swe+ceus,1,sig_e,0.0005999999999999997,0.0005955587000993602,0.0005563217330786886,0.0006375630218528074,0.13630634644504744,3.688879454113936,0.03695061010818204,-0.007429698483874425,True
one_frame,oracle,bmode+swe+ceus,1,R,0.005000000000000002,0.005020078564225552,0.004994577824807132,0.005045709502378219,0.010185389709804586,1.7917594692280547,0.005684574232607665,0.004007671391207168,True
one_frame,oracle,bmode+swe+ceus,1,x_c,0.012,0.01199714243497112,0.011974121392877667,0.012020163477064574,4.6042084186908594e-05,0.006,0.0076736806978181,-2.857565028879794e-06,True
one_frame,oracle,bmode+swe+ceus,1,c_s,2.0,1.9985950230819463,1.9921462614650478,2.005064659936369,0.006463728686146193,1.6094379124341003,0.004016140440217731,-0.000702735319662362,True
one_frame,oracle,bmode+swe+ceus,1,alpha0,40.0,39.57823265637655,36.32148166926554,43.12699890565742,0.17173987795322598,4.382026634673881,0.039191883635368914,-0.010600167377685654,True
one_frame,oracle,bmode+swe+ceus,1,v,0.0010000000000000002,0.0010759202819364063,0.000976443942742534,0.0011855308865256074,0.19402861638828847,2.5902671654458267,0.07490679686506121,0.07317637157528711,True
one_frame,oracle,bmode+swe+ceus,1,D,9.999999999999994e-08,1.0584879606466094e-07,9.535735085843446e-08,1.1749453531874414e-07,0.20876040207344027,4.605170185988094,0.04533174533019962,0.05684143755229343,True
one_frame,oracle,bmode+swe+ceus,1,w0,0.00035,0.00035,0.00035,0.00035,0.0,nan,0.0,0.0,True
one_frame,oracle,bmode+swe+ceus,1,w_bmode,0.00035,0.00035,0.00035,0.00035,0.0,nan,0.0,0.0,True
one_frame,oracle,bmode+swe+ceus,1,w_swe,0.0006325345840347388,0.0006325345840347388,0.0006325345840347388,0.0006325345840347388,0.0,nan,0.0,0.0,True
one_frame,oracle,bmode+swe+ceus,1,w_ceus,0.000875,0.000875,0.000875,0.000875,0.0,nan,0.0,0.0,True
no_ceus,independent,bmode+swe,0,sig_e,0.0005999999999999997,0.0005988396359547715,0.0004217993257806721,0.0008501884371833094,0.7009283461087673,3.688879454113936,0.1900111822106503,-0.0019358125520492209,True
no_ceus,independent,bmode+swe,0,R,0.005000000000000002,0.005020078859127302,0.0049945782038870465,0.005045709712232351,0.010185355402124889,1.7917594692280547,0.005684555085127054,0.004007730135654697,True
no_ceus,independent,bmode+swe,0,x_c,0.012,0.011997142501950596,0.011974121522141666,0.012020163481759527,4.604195961786236e-05,0.006,0.007673659936310393,-2.8574980494040086e-06,True
no_ceus,independent,bmode+swe,0,c_s,2.0,1.998626818255329,1.9921775642691526,2.005096950338782,0.006464119994060321,1.6094379124341003,0.004016383573494949,-0.0006868266837919412,True
no_ceus,independent,bmode+swe,0,alpha0,40.0,38.840898838221456,35.21039399429747,42.84574102764319,0.19626492457169095,4.382026634673881,0.04478861972647443,-0.02940566888285323,True
no_ceus,independent,bmode+swe,0,w_bmode,0.00035000000000000005,0.00034434760105992894,0.00012152713928634323,0.0009757102080411835,2.0830280178842,2.120263536200092,0.9824382593577848,-0.016281539091931307,True
no_ceus,independent,bmode+swe,0,w_swe,0.0006325345840347388,0.0006814305848902453,0.0005778564950084438,0.000803569131843152,0.32973766054842296,1.2107693123672645,0.27233731246766446,0.07445949216560432,True
no_ceus,independent,bmode+swe,0,w_ceus,0.0008750000000000001,0.0008660254037844393,0.0003000000000000001,0.002500000000000003,2.120263536200091,2.120263536200091,1.0,-0.010309643601367213,True
no_ceus,independent,bmode+swe,0,w0,0.00035,0.0003429992702934271,0.00012220646424443543,0.0009783084151133794,2.0801130289691843,2.122382051854519,0.9800841592830092,-0.020204834744193222,True
no_ceus,shared,bmode+swe,0,sig_e,0.0005999999999999997,0.0005747428456074439,0.0005001874623307776,0.0006604110727559439,0.2778795258296383,3.688879454113936,0.07532897978537621,-0.04300693948426826,True
no_ceus,shared,bmode+swe,0,R,0.005000000000000002,0.005020076218659829,0.004994574858827259,0.005045707783639322,0.01018564291613832,1.7917594692280547,0.0056847155497532316,0.004007204154242494,True
no_ceus,shared,bmode+swe,0,x_c,0.012,0.011997141761180902,0.01197412027394405,0.012020163248417755,4.6042974473707325e-05,0.006,0.007673829078951221,-2.858238819097858e-06,True
no_ceus,shared,bmode+swe,0,c_s,2.0,1.9986175855704889,1.9921683002630153,2.00508774927512,0.006464181348029206,1.6094379124341003,0.00401642169485919,-0.0006914462085982898,True
no_ceus,shared,bmode+swe,0,alpha0,40.0,39.028947392190425,35.396640183665035,43.03399211446419,0.1953734121220517,4.382026634673881,0.04458517220687587,-0.02457584248338618,True
no_ceus,shared,bmode+swe,0,w0,0.00035000000000000005,0.00038328010052642275,0.00029376169916338097,0.0005000775658566765,0.5319943264993985,2.120263536200092,0.250909529601604,0.0908329003707058,True
